game_id,game_title,review_count
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,5245
673950,Farm Together,5231
403190,Planetbase,5227
960090,Bloons TD 6,5176
215530,The Incredible Adventures of Van Helsing,5172
361800,Tree of Life,5168
858810,Dawn of Man,5167
50,Half-Life: Opposing Force,5167
611790,House Party,5159
351970,Tales of Zestiria,5153
362680,Fran Bow,5117
557600,Gorogoa,5116
571740,Golf It!,5112
327410,A Bird Story,5106
991780,探灵笔记-1v5(Notes of Soul),5099
3830,Psychonauts,5084
728540,Islands of Nyne: Battle Royale,5066
433950,Bit Blaster XL,5058
354140,Five Nights at Freddy's 3,5034
888770,Event Pass: Sanhok,5022
268750,Magicite,5020
635730,Dragonia,5012
226840,Age of Wonders III,5012
230050,DLC Quest,5004
562220,Zup! 2,4986
38400,Fallout,4982
462770,Pyre,4965
333420,Cossacks 3,4961
973760,Thronebreaker: The Witcher Tales,4954
115320,PROTOTYPE 2,4947
568220,Lobotomy Corporation,4944
302670,Call to Arms,4941
378860,Project CARS 2,4937
213610,Sonic Adventure™ 2 ,4936
21090,F.E.A.R.,4933
38410,Fallout 2,4926
218640,Lucius,4923
2870,X Rebirth,4916
469820,Genital Jousting,4916
251990,Long Live The Queen,4911
506610,Five Nights at Freddy's: Sister Location,4910
238370,Magicka 2,4882
329430,State of Decay: Year-One,4879
450540,"Hot Dogs, Horseshoes & Hand Grenades",4872
237870,Planet Explorers,4856
496300,Kingdom: New Lands,4853
280,Half-Life: Source,4851
12100,Grand Theft Auto III,4834
232890,Stronghold Crusader 2,4833
535230,Domina,4831
298900,Space Hulk: Deathwing,4821
606280,Darksiders III,4815
736220,Post Scriptum,4810
70400,Recettear: An Item Shop's Tale,4809
329050,Devil May Cry® 4 Special Edition,4808
63380,Sniper Elite V2,4794
619080,SOS,4786
42700,Call of Duty: Black Ops,4783
215470,Primal Carnage,4780
397340,SimplePlanes,4764
311310,Naval Action,4758
730310,DYNASTY WARRIORS 9,4754
992300,嗜血印 Bloody Spell,4729
253430,CastleMiner Z,4725
218680,Scribblenauts Unlimited,4713
491950,Orwell,4709
242640,Styx: Master of Shadows,4705
368070,Sniper Ghost Warrior 3,4697
360740,Downwell,4687
320,Half-Life 2: Deathmatch,4684
49540,Aliens: Colonial Marines,4682
94400,Nidhogg,4677
227860,Castle Story,4669
234710,Poker Night 2,4667
274520,Darkwood,4662
606150,Moonlighter,4641
40700,Machinarium,4635
276810,Mordheim: City of the Damned,4632
296470,Mount Your Friends,4630
49600,Beat Hazard,4629
67370,The Darkness II,4618
9450,"Warhammer 40,000: Dawn of War - Soulstorm",4609
378610,Valley,4606
10150,Prototype,4602
635260,CarX Drift Racing Online,4592
606880,GreedFall,4561
268650,From The Depths,4549
319910,Trine 3: The Artifacts of Power,4541
537800,Bomber Crew,4535
331600,ONE PIECE PIRATE WARRIORS 3,4531
421020,DiRT 4,4530
26800,Braid,4528
204030,Fable - The Lost Chapters,4525
584980,Late Shift,4520
560130,Pillars of Eternity II: Deadfire,4509
397950,Clustertruck,4499
729040,Borderlands GOTY Enhanced,4492
446020,Jalopy,4487
616560,Ultimate Epic Battle Simulator,4486
704270,Generation Zero,4481
690530,Soul at Stake,4478
410320,EARTH DEFENSE FORCE 4.1  The Shadow of New Despair,4452
415200,Motorsport Manager,4437
567640,Danganronpa V3: Killing Harmony,4437
575640,Zup! 3,4433
258970,Gauntlet™ ,4429
368230,Kingdom: Classic,4421
91700,E.Y.E: Divine Cybermancy,4417
250180,METAL SLUG 3,4404
1056960,Wolfenstein: Youngblood,4397
362930,Garfield Kart,4395
632470,Disco Elysium,4392
239200,Amnesia: A Machine for Pigs,4392
593600,PixARK,4391
235800,Audiosurf 2,4386
581630,Sword With Sauce,4383
494840,UBOAT,4377
327890,I am Bread,4375
352520,The Silent Age,4372
252330,Slender: The Arrival,4368
240760,Wasteland 2,4361
629730,Blade & Sorcery,4361
370240,NBA 2K16,4356
823130,Totally Accurate Battlegrounds,4347
609320,FAR: Lone Sails,4341
435400,Hidden Folks,4337
70300,VVVVVV,4331
